Código,Nome,Tipo,Status,Data de criação,Latitude,Longitude
CTO0017,"Belmonte, Crato-CE",Greenfield,Ativo,2024-01-17 12:49:30,-7.260405,-39.452032
MRO0044,"Agrovila do Pa Vingt Rosado, Mossoro-RN",Greenfield,Ativo,2024-01-17 12:50:07,-5.21668037947,-37.5202194444
BAO0004,"Iara, Barro-CE",Greenfield,Ativo,2024-05-21 18:31:40,-7.049613,-38.782028
DNP0001,Divina Pastora-SE,Greenfield,Ativo,2024-06-25 11:51:59,-10.678139,-37.153111
SAZ0001,Santa Terezinha-PE,Greenfield,Ativo,2024-07-16 13:20:05,-7.375345,-37.478795
VJTB0001,Jatoba-PE,Greenfield,Ativo,2024-07-16 13:20:09,-9.18441,-38.267023
VJTB0002,Jatoba-PE,Greenfield,Ativo,2024-07-16 13:20:12,-9.177602,-38.247572
FRS0001,Ferreiros-PE,Greenfield,Ativo,2024-07-16 13:20:19,-7.44922,-35.242561
FIP0001,Frei Paulo-SE,Greenfield,Ativo,2024-08-02 18:52:35,-10.548675,-37.533726
GBA0002,"Água Verde, Guaiúba-CE",Greenfield,Ativo,2024-08-08 13:30:25,-4.152998,-38.682293
GME0002,"Baixa do Meio, Guamare-RN",Greenfield,Ativo,2024-08-08 13:30:32,-5.254959,-36.355873
EXZ0015,"Santa Maria/Vila de Fátima, Extremoz-RN",Greenfield,Ativo,2024-08-08 13:30:41,-5.652572,-35.294699
JNE0039,"Baixio do Popó, Juazeiro Do Norte-CE",Greenfield,Ativo,2024-08-08 13:56:14,-7.182899,-39.354706
IRC0001,Iguaraci-PE,Greenfield,Ativo,2024-08-08 14:15:03,-7.836128,-37.514692
SXX0001,Serra Preta-BA,Greenfield,Ativo,2024-08-08 14:15:07,-12.1610127778,-39.3305372857
TQN0001,Taquaritinga Do Norte-PE,Greenfield,Ativo,2024-08-26 14:34:54,-7.906145,-36.047522
TQN0004,Taquaritinga Do Norte-PE,Greenfield,Ativo,2024-08-26 14:34:57,-7.894538,-36.064998
MHO0001,Machados-PE,Greenfield,Ativo,2024-08-26 14:35:08,-7.68481174236,-35.5163883823
MHO0002,Machados-PE,Greenfield,Ativo,2024-08-26 14:35:11,-7.690841,-35.505508
MRO0042.1,"Agrovila do pa Oziel Alves/Vila Calmo de Sa, Mossoro-RN",Greenfield,Ativo,2024-10-08 19:25:50,-4.95273,-37.406248
IAU0008,"José de Alencar, Iguatu-CE",Greenfield,Ativo,2023-09-11 19:25:55,-6.402588,-39.167724
LVM0005,"Arrojado, Lavras da Mangabeira-CE",Greenfield,Ativo,2023-09-12 14:48:39,-6.663985,-39.016538
MRO0043,"Pedra Branca, Mossoro-RN",Greenfield,Ativo,2023-11-22 11:53:11,-5.199698,-37.447782
GRN0002,"Sussuanha, Guaraciaba do Norte-CE",Greenfield,Ativo,2024-01-08 18:04:40,-4.172496,-40.814312
GRN0004,"Mucambo/Varzea Redonda, Guaraciaba do Norte-CE",Greenfield,Ativo,2024-01-08 18:04:44,-4.288851,-40.835751
GRN0005,"Morrinhos Novos, Guaraciaba do Norte-CE",Greenfield,Ativo,2024-01-08 18:04:48,-4.178366,-40.866825
ICP0005,"Agrovila do pa Redonda, Icapuí-CE",Greenfield,Ativo,2024-01-08 18:05:26,-4.654378,-37.462726
JNE0038,"Padre Cícero, Juazeiro do Norte-CE",Greenfield,Ativo,2024-01-08 18:07:24,-7.140457,-39.313067
AAB0002,"Ideal, Aracoiaba-CE",Greenfield,Ativo,2024-05-21 18:01:40,-4.430951,-38.672902
AUR0002,"Ingazeiras, Aurora-CE",Greenfield,Ativo,2024-05-21 18:01:47,-7.09757,-39.008741
UUO0002,"Campanário, Uruoca-CE",Greenfield,Ativo,2024-05-21 18:30:37,-3.36966633888,-40.7349361986
FBO0004,"Cariutaba, Farias Brito-CE",Greenfield,Ativo,2024-05-21 18:32:01,-6.821991,-39.522503
OOS0003,"Igarói, Orós-CE",Greenfield,Ativo,2024-05-21 18:32:46,-6.372566,-39.046358
SPM0004,"Bonfim, Senador Pompeu-CE",Greenfield,Ativo,2024-05-21 18:33:07,-5.526651,-39.491172
AAB0003,"Vazantes, Aracoiaba-CE",Greenfield,Ativo,2024-05-21 18:37:14,-4.409889,-38.685163
RDC0004,Redenção-CE,Greenfield,Ativo,2024-05-21 18:37:58,-4.341544,-38.710664
OCR0004,"Serragem, Ocara-CE",Greenfield,Ativo,2024-05-21 18:40:47,-4.435862,-38.506782
QXO0002,"Antonico, Quixelô-CE",Greenfield,Ativo,2024-05-21 18:40:56,-6.262234,-39.267595
SRI0017,"Cicerolândia, Santa Rita-PB",Greenfield,Ativo,2024-05-21 18:41:45,-7.254052,-34.983555
ARAE0002,"Santo Antônio, Ararendá-CE",Greenfield,Ativo,2024-08-08 12:21:15,-4.70871,-40.671943
SOP0003,"São José de Solonópole, Solonópole-CE",Greenfield,Ativo,2024-08-08 13:45:18,-5.961283,-39.084111
VJT0002,"Croatá, Varjota-CE",Greenfield,Ativo,2024-08-08 13:45:29,-4.209068,-40.548483
GABR0002,"Boa Vista, Gado Bravo-PB",Greenfield,Ativo,2024-08-08 13:45:39,-7.56216,-35.770469
TNN0002,"Mata de São Braz, Tenente Ananias-RN",Greenfield,Ativo,2024-08-08 13:45:42,-6.406985,-38.146024
SZA0008,"São Gonçalo, Sousa-PB",Greenfield,Ativo,2024-08-08 13:45:46,-6.843595,-38.312861
DPIP0004,"Betânia, Deputado Irapuan Pinheiro-CE",Greenfield,Ativo,2024-08-08 13:45:49,-5.804947,-39.245914
CZS0007,"Divinópolis, Cajazeiras-PB",Greenfield,Ativo,2024-08-08 13:45:53,-6.867022,-38.429531
MUL0003,"Gravatá, Mulungu-PB",Greenfield,Ativo,2024-08-08 13:46:04,-6.991373,-35.478027
SWV0003,"Santo Antônio, Severiano Melo-RN",Greenfield,Ativo,2024-08-08 13:46:11,-5.768587,-38.016778
MCU0003,"Agrovila do Pa Umarizeiro, Macau-RN",Greenfield,Ativo,2024-08-08 13:46:15,-5.244953,-36.383696
PODA0002,"Tanques, Poco Dantas-PB",Greenfield,Ativo,2024-08-08 13:46:18,-6.395989,-38.591834
SRI0018,"Odilândia, Santa Rita-PB",Greenfield,Ativo,2024-08-08 13:47:49,-7.239175,-35.02101
CAY0011,"Agrovila do Pa São Sebastião/Agrovila do Pa São Sebastião 1, Ceará-Mirim-RN",Greenfield,Ativo,2024-08-08 13:47:53,-5.701815,-35.524971
BBB0015,"Forquilha, Beberibe-CE",Greenfield,Cancelado,2024-08-08 13:55:38,-4.583801,-38.028312
CRH0008,"São Francisco, Catole Do Rocha-PB",Greenfield,Cancelado,2024-08-26 15:10:31,-6.233382,-37.703946
OOS0004.1,"Palestina, Orós-CE",Greenfield,Ativo,2024-10-02 13:45:45,-6.334459,-39.029624
GRN0003.1,"Santo Antônio Dos Camelos/Santo Antônio Dos Camelos I, Guaraciaba do Norte-CE",Greenfield,Ativo,2024-10-10 13:49:44,-4.142548,-40.838401
IAX0001,Itaiçaba-CE,Greenfield,Ativo,2023-08-18 13:18:47,-4.679833,-37.826556
ACA0012,"Cajazeiras, Aracati-CE",Greenfield,Ativo,2024-05-21 18:31:26,-4.868028,-37.497389
ACA0011,"Cacimba Funda, Aracati-CE",Greenfield,Ativo,2024-07-29 17:21:14,-4.862667,-37.45925
CTS0008,"Vila de Graça, Crateús-CE",Greenfield,Ativo,2024-08-08 13:55:24,-5.297728,-40.728319
CRH0004,"Timbaúba, Catole Do Rocha-PB",Greenfield,Cancelado,2024-08-08 14:00:07,-6.463681,-37.740149
ARR0005,"Sipaúba, Araripina-PE",Greenfield,Cancelado,2024-08-08 14:00:24,-7.640094,-40.331743
STN0005,"Pernambuquinho, Sertania-PE",Greenfield,Cancelado,2024-08-08 14:00:27,-7.954341,-37.207314
STN0006,"Henrique Dias, Sertania-PE",Greenfield,Cancelado,2024-08-08 14:00:32,-8.273306,-37.176168
STN0007,"Valdemar Siqueira, Sertania-PE",Greenfield,Cancelado,2024-08-08 14:00:35,-8.137033,-37.475115
BEZ0007,"Sítio dos Remédios, Bezerros-PE",Greenfield,Cancelado,2024-08-08 14:00:38,-8.198132,-35.813999
OUI0005,"Vidéu, Ouricuri-PE",Rooftop,Cancelado,2024-08-08 14:00:42,-8.014931,-40.417353
ACI0003,"Gargalheiras, Acari-RN",Greenfield,Ativo,2024-08-08 14:01:53,-6.420041,-36.609811
NSF0006,"Jenipapeiro, Nísia Floresta-RN",Greenfield,Ativo,2024-08-08 14:02:01,-6.132139,-35.173139
NSF0007,"Currais, Nísia Floresta-RN",Greenfield,Ativo,2024-08-08 14:02:04,-6.126167,-35.200694
MRO0048,"Agrovila do Pa Fazenda Nova, Mossoro-RN",Greenfield,Cancelado,2024-08-08 14:02:11,-5.125668,-37.497614
CRH0006,"Cajazeirinha, Catole Do Rocha-PB",Greenfield,Ativo,2024-08-08 14:03:40,-6.408565,-37.746192
MUL0004,"Agrovila do Conjunto Leal Landia, Mulungu-PB",Greenfield,Ativo,2024-08-08 14:06:56,-6.962458,-35.409101
CRH0007,"Coronel Maia, Catole Do Rocha-PB",Greenfield,Cancelado,2024-08-26 15:10:28,-6.243484,-37.728795
AIN0004,"Santa Luzia, Alianca-PE",Greenfield,Ativo,2024-09-20 15:45:00,-7.614171,-35.152397
ARR0004.1,"Morais, Araripina-PE",Greenfield,Ativo,2024-10-08 19:25:47,-7.647672,-40.413933
ERR0002,"São João, Ereré-CE",Greenfield,Ativo,2023-09-18 17:54:30,-5.921458,-38.233173
SOL0023,"Bonfim, Sobral-CE",Greenfield,Cancelado,2024-05-21 18:30:52,-3.77295,-40.399621
SOL0024,"Caracará, Sobral-CE",Greenfield,Cancelado,2024-05-21 18:30:57,-3.715489,-40.018268
SOL0025,"Patos, Sobral-CE",Greenfield,Cancelado,2024-05-21 18:31:00,-3.756756,-40.031784
MRO0045,"Agrovila do Pa Quixaba, Mossoro-RN",Greenfield,Cancelado,2024-07-16 13:20:22,-5.366069,-37.244205
ACU0009,"Agrovila do Pa Novos Pingos, Assu-RN",Greenfield,Cancelado,2024-07-16 13:20:26,-5.600591,-37.063054
BRN0004,"Pico Estreito, Barauna-RN",Greenfield,Cancelado,2024-07-29 17:21:22,-4.96595,-37.592204
MRO0046,"Agrovila do Pa Hipolito, Mossoro-RN",Greenfield,Cancelado,2024-07-29 17:21:25,-5.441588,-37.196524
ACU0011,"Agrovila do Pa Nova Trapía, Assu-RN",Greenfield,Cancelado,2024-08-02 18:53:24,-5.411903,-37.096612
TQN0002,"Socorro, Taquaritinga Do Norte-PE",Greenfield,Ativo,2024-08-08 13:48:20,-7.96522807906,-36.1134654006
ABC0005,"Agrovila do Pa Casqueira, Areia Branca-RN",Greenfield,Cancelado,2024-08-08 13:48:35,-5.002124,-37.079705
UNM0002,"Agrovila do PA São Manoel II, Upanema-RN",Greenfield,Cancelado,2024-08-08 13:48:43,-5.554672,-37.358062
PNS0002,"Amargoso, Pendências-RN",Rooftop,Cancelado,2024-08-08 13:48:54,-5.221468,-36.56475
BBB0017,"Medeiros, Beberibe-CE",Greenfield,Cancelado,2024-08-08 13:55:28,-4.587351,-38.096009
UIN0002,"Quixabá de Cima, Uirauna-PB",Greenfield,Cancelado,2024-08-08 13:56:11,-6.565048,-38.349307
JOA0007,"Agrovila do Pa Baixa do Novilho, Joao Camara-RN",Greenfield,Cancelado,2024-08-08 13:56:20,-5.346177,-35.924374
CSS0005,"São Sebastião, Currais Novos-RN",Greenfield,Cancelado,2024-08-08 13:56:34,-6.23688,-36.292055
CSS0006,"Cruz, Currais Novos-RN",Rooftop,Cancelado,2024-08-08 13:56:37,-6.248973,-36.379857
STN0008,"Algodões, Sertania-PE",Greenfield,Cancelado,2024-08-08 14:00:46,-8.318134,-37.348877
PQE0005,"Ipanema, Pesqueira-PE",Greenfield,Cancelado,2024-08-08 14:00:50,-8.401816,-36.812405
CAY0013,"Agrovila do Pa Riachão II, Ceará-Mirim-RN",Greenfield,Ativo,2024-08-08 14:02:35,-5.52013,-35.387528
MRO0049,"Pau Branco/Agrovila do Pa São Romão, Mossoro-RN",Greenfield,Ativo,2024-08-08 14:02:40,-4.907334,-37.414355
PQE0007,"Agrovila do Pa Nova Esperança ou Canela de Ema, Pesqueira-PE",Greenfield,Cancelado,2024-08-08 14:05:04,-8.364347,-36.917803
SIB0002,"Areal, Santa Maria Da Boa Vista-PE",Rooftop,Cancelado,2024-08-08 14:05:25,-8.690806,-39.711307
PIM0002,"Barro, Parnamirim-PE",Greenfield,Cancelado,2024-08-08 14:05:29,-7.973106,-39.748872
OUI0006,"Extrema, Ouricuri-PE",Greenfield,Cancelado,2024-08-08 14:05:41,-7.954505,-40.376366
ARR0006,"Lagoa de Dentro, Araripina-PE",Greenfield,Cancelado,2024-08-08 14:06:01,-7.661117,-40.507669
MEN0006,"Massaranduba, Moreno-PE",Greenfield,Cancelado,2024-08-08 14:06:05,-8.16638,-35.202662
STN0009,"Rio da Barra, Sertania-PE",Greenfield,Cancelado,2024-08-08 14:06:16,-8.133284,-37.458612
TDD0004,"Saco Verde, Trindade-PE",Greenfield,Cancelado,2024-08-08 14:06:25,-7.667636,-40.294029
BJM0009,"Santa Luzia, Belo Jardim-PE",Greenfield,Cancelado,2024-08-08 14:06:30,-8.397751,-36.480345
BEZ0009,"Serra Negra, Bezerros-PE",Greenfield,Cancelado,2024-08-08 14:06:41,-8.163552,-35.770439
SPH0006,"Agrovila do Pa Santa Helena, Sape-PB",Greenfield,Ativo,2024-08-08 14:07:04,-7.090418,-35.151389
CTS0012,"Curral do meio, Crateús-CE",Greenfield,Cancelado,2024-08-26 15:10:36,-5.010135,-40.632914
CTS0013,"Cabeça da onça, Crateús-CE",Greenfield,Cancelado,2024-08-26 15:10:41,-5.4593,-40.915897
CTS0014,"Santana, Crateús-CE",Greenfield,Cancelado,2024-08-26 15:10:44,-5.380628,-40.854619
CTS0015,"Santo Antônio, Crateús-CE",Greenfield,Cancelado,2024-08-26 15:10:49,-5.406732,-40.637777
QUS0005,"Gravatá de Queimadas, Queimadas-PB",Greenfield,Ativo,2024-09-19 20:02:14,-7.387371,-35.97788
AIB0002,"São Nicolau, Aiuaba-CE",Greenfield,Ativo,2024-09-19 20:02:22,-6.68181,-40.082542
CHY0003.1,"Fátima, Cachoeira Dos Indios-PB",Greenfield,Ativo,2024-11-05 15:06:55,-6.951131,-38.717227
FBO0005,"Quincuncá, Farias Brito-CE",Greenfield,Ativo,2024-05-21 18:32:05,-6.86993,-39.613281
AAU0005,"Ilha dos Coqueiros, Acaraú-CE",Greenfield,Ativo,2024-07-19 12:32:55,-2.858136,-40.04786
GBA0004,"Baú, Guaiúba-CE",Greenfield,Ativo,2024-07-29 17:21:19,-4.124772,-38.661529
BRN0007,"Agrovila do Pa Recreio, Barauna-RN",Greenfield,Cancelado,2024-07-29 17:21:29,-5.224877,-37.614624
BRN0006,"Agrovila do Pa Poço Novo, Barauna-RN",Greenfield,Cancelado,2024-08-02 18:53:27,-5.223269,-37.705747
SGM0020,"Igreja Nova/Jenipapo, São Goncalo Do Amarante-RN",Greenfield,Ativo,2024-08-08 13:48:16,-5.80371,-35.440501
BRN0003,"Agrovila do Pa Tiradentes, Barauna-RN",Greenfield,Cancelado,2024-08-08 13:48:27,-4.977205,-37.623052
BRN0005,"Agrovila do Pa Maisa, Barauna-RN",Greenfield,Cancelado,2024-08-08 13:48:32,-5.004153,-37.586869
CRB0002,"São Geraldo, Caraubas-RN",Greenfield,Cancelado,2024-08-08 13:48:58,-5.704279,-37.69707
CTS0009,"Lagoa das Pedras, Crateús-CE",Greenfield,Cancelado,2024-08-08 13:55:46,-5.420442,-40.776169
MEU0002,"Santo Antônio dos Fernandes, Meruoca-CE",Greenfield,Cancelado,2024-08-08 13:55:53,-3.579612,-40.494956
BAO0007,"Santo Antônio, Barro-CE",Greenfield,Cancelado,2024-08-08 13:55:56,-7.165172,-38.88656
JOA0006,"Amarelão, Joao Camara-RN",Greenfield,Cancelado,2024-08-08 13:56:17,-5.514545,-35.906113
JOA0008,"Agrovila do Pa Santa Terezinha, Joao Camara-RN",Greenfield,Cancelado,2024-08-08 13:56:24,-5.527765,-35.89721
BFN0002,"Agrovila do Pa Canadá, Bento Fernandes-RN",Greenfield,Cancelado,2024-08-08 13:59:43,-5.682681,-35.814582
CCI0003,"Montevidéo, Conceicao-PB",Greenfield,Cancelado,2024-08-08 14:00:10,-7.354706,-38.415467
CUT0003,"Melo, Cuite-PB",Greenfield,Cancelado,2024-08-08 14:00:14,-6.583797,-36.110233
SII0003,"Mendes, Sao Jose De Mipibu-RN",Greenfield,Ativo,2024-08-08 14:03:17,-6.007897,-35.304504
BQU0003,"Agrovila do Pa Dois Irmãos, Buique-PE",Greenfield,Cancelado,2024-08-08 14:04:48,-8.493667,-37.137929
AGP0003,"Agrovila do Pa Mangueira, Agua Preta-PE",Greenfield,Cancelado,2024-08-08 14:04:53,-8.745422,-35.500549
PQE0006,"Agrovila do Pa Nossa Senhora do Rosario, Pesqueira-PE",Greenfield,Cancelado,2024-08-08 14:05:01,-8.396718,-36.853596
AGP0004,"Agrovila do Pa Parnaso, Agua Preta-PE",Greenfield,Cancelado,2024-08-08 14:05:08,-8.750749,-35.558788
CUW0002,"Agua Doce de Cima, Cumaru-PE",Greenfield,Cancelado,2024-08-08 14:05:19,-8.060403,-35.706357
BEZ0008,"Cajazeiras, Bezerros-PE",Greenfield,Cancelado,2024-08-08 14:05:34,-8.14103,-35.727681
BJI0002,"Lagoa Comprida, Bom Jardim-PE",Greenfield,Cancelado,2024-08-08 14:05:57,-7.779908,-35.484586
ACV0010,"Riacho do Meio, Arcoverde-PE",Greenfield,Cancelado,2024-08-08 14:06:12,-8.415662,-36.936682
CNB0002,"Roça de Dentro, Carnaiba-PE",Rooftop,Cancelado,2024-08-08 14:06:20,-7.736698,-37.722701
CLI0002,"Tamborilzinho, Calumbi-PE",Greenfield,Cancelado,2024-08-08 14:06:45,-8.006163,-38.099355
CBO0028,"Utinga de Cima, Cabo De Santo Agostinho-PE",Greenfield,Cancelado,2024-08-08 14:06:49,-8.31698,-35.101347
TDD0003,"Mangueira, Trindade-PE",Greenfield,Ativo,2024-08-08 14:09:29,-7.70762261798,-40.3259507215
PODA0003,"São João Bosco, Poco Dantas-PB",Greenfield,Ativo,2024-08-08 14:09:59,-6.396382,-38.547855
OUI0007,"Passagem de Pedras, Ouricuri-PE",Rooftop,Cancelado,2024-08-26 15:11:15,-8.054715,-40.31469
OUI0008,"Lopes, Ouricuri-PE",Greenfield,Cancelado,2024-08-26 15:11:18,-8.0586,-40.00151
OUI0010,"Cara Branca, Ouricuri-PE",Greenfield,Cancelado,2024-08-26 15:11:22,-8.013168,-40.524937
OUI0009,"Jacaré, Ouricuri-PE",Greenfield,Cancelado,2024-08-26 15:11:26,-8.074715,-40.217436
LIO0007,"Mendes, Limoeiro-PE",Greenfield,Ativo,2024-09-20 15:45:04,-7.828503,-35.477107
CVL0005,"Guanacés, Cascavel-CE",Greenfield,Ativo,2023-09-12 12:57:50,-4.146104,-38.327059
SOL0026,"Caioca, Sobral-CE",Greenfield,Cancelado,2024-05-21 18:31:03,-3.672484,-40.236439
MSS0004,"Tangente, Massapê-CE",Greenfield,Ativo,2024-05-21 18:34:44,-3.417044,-40.387257
APD0005,"Agrovila do Pa Aurora da Serra, Apodi-RN",Greenfield,Cancelado,2024-05-21 18:36:47,-5.559419,-37.86314
AAB0008,"Maguari, Aracoiaba-CE",Greenfield,Cancelado,2024-05-21 18:38:34,-4.420081,-38.627943
ACU0010,"Bela Vista do Piató, Assu-RN",Greenfield,Cancelado,2024-08-02 18:53:20,-5.523112,-37.006279
BBB0014,"Andreza, Beberibe-CE",Greenfield,Cancelado,2024-08-02 18:53:30,-4.346,-38.162125
MAC0003,"Triângulo do Marco, Marco-CE",Greenfield,Ativo,2024-08-08 13:48:01,-3.123586,-40.083247
UNM0003,"Agrovila do Pa Sabiá, Upanema-RN",Greenfield,Cancelado,2024-08-08 13:48:46,-5.555621,-37.39233
ACU0012,"Agrovila do Pa Nova Descoberta, Assu-RN",Greenfield,Cancelado,2024-08-08 13:48:50,-5.351956,-36.974791
PDL0002,"Agrovila do Pa Novo Horizonte, Pedro Avelino-RN",Greenfield,Cancelado,2024-08-08 13:49:02,-5.307951,-36.342378
TNT0004,"Peixe Gordo, Tabuleiro Do Norte-CE",Greenfield,Ativo,2024-08-08 13:55:12,-5.23121354039,-38.1939980411
BAO0005,"Brejinho, Barro-CE",Greenfield,Cancelado,2024-08-08 13:55:31,-7.174377,-38.918235
BAO0006,"Engenho Velho, Barro-CE",Greenfield,Cancelado,2024-08-08 13:55:34,-7.042824,-38.705419
BBB0016,"Itapeim, Beberibe-CE",Greenfield,Cancelado,2024-08-08 13:55:42,-4.358711,-38.117919
BAO0008,"Serrota, Barro-CE",Greenfield,Cancelado,2024-08-08 13:56:00,-7.058333,-38.845291
COZ0005,"Vista Alegre, Croatá-CE",Greenfield,Cancelado,2024-08-08 13:56:03,-4.465843,-40.881042
BBB0018,"Lagoa Queimada, Beberibe-CE",Greenfield,Cancelado,2024-08-08 13:56:07,-4.479504,-38.275225
SMDT0002,"Cruzamento, São Miguel Do Gostoso-RN",Greenfield,Cancelado,2024-08-08 13:56:27,-5.291658,-35.760371
SMDT0003,"Agrovila do Pa Arizona, São Miguel Do Gostoso-RN",Greenfield,Cancelado,2024-08-08 13:56:30,-5.225016,-35.687195
PGR0002,"Agrovila do Pa Bonsucesso, Pedra Grande-RN",Greenfield,Cancelado,2024-08-08 13:59:47,-5.167087,-35.905928
POC0002,"Lagoa do Serrote, Poco Branco-RN",Greenfield,Cancelado,2024-08-08 13:59:51,-5.576988,-35.692883
SBE0002,"São Miguel, Sao Bento Do Norte-RN",Greenfield,Cancelado,2024-08-08 13:59:55,-5.162776,-35.938747
SPK0002,"Pedra Branca, Sao Pedro-RN",Greenfield,Cancelado,2024-08-08 14:00:00,-5.884814,-35.640047
TUS0009,"Agrovila do Pa Chico Mendes, Touros-RN",Greenfield,Cancelado,2024-08-08 14:00:03,-5.326693,-35.781199
